book_id;book_name;author;edition_year;age_restriction;number_pages;genre;link;annotation;image;
6059769;Душегуб. История серийного убийцы Михасевича;Елизавета Бута;2022;18+;320;Эссе, письма, очерки;https://book24.ru/product/dushegub-istoriya-seriynogo-ubiytsy-mikhasevicha-6059769/;;https://cdn.book24.ru/v2/ITD000000001247315/COVER/cover13d__w410.jpg;
6015886;Нажми Reset. Как игровая индустрия рушит карьеры и дает второй шанс;Джейсон Шрейер;2021;12+;368;Руководства. Игровые миры;https://book24.ru/product/nazhmi-reset-kak-igrovaya-industriya-rushit-karery-i-daet-vtoroy-shans-6015886/;Еще вчера вы работали над потрясающей игрой, в которую верила вся команда. А сегодня забираете вещи из офиса и оказываетесь безработным. Что же произошло? Ответ игрового обозревателя Bloomberg News и автора этой книги Джейсона Шрейера пугающе прост – в современной геймдев-индустрии сказкам места нет. Ежегодно по всему миру закрываются десятки игровых студий, разработчики теряют работу, а у сотен игр так никогда и не будет релиза. И речь идет не столько о любительских проектах энтузиастов, а о блестящих командах, подаривших миру BioShock Infinite, Epic Mickey, Dead Space и другие хиты. Современная игровая индустрия беспощадна даже к самым большим талантам, это мир, где нет никаких гарантий. "Нажми Reset" - расследование, основанное на уникальных интервью. Вы окажетесь в самом эпицентре событий и узнаете, какими были последние часы Irrational Games, 2K Marin, Visceral и других студий, а также о том, как сложились судьбы людей, которым довелось пережить этот опыт от первого лица.;//ndc.book24.ru/resize/410x590/iblock/87f/87f2b3b83e044ca357d7a804182946a4/4bedb7fa0ed3db87d965a38b181e4745.jpg;
5952003;Любовь по кайфу. Как любить по правилам и без;Кристина Нургалиева;2021;18+;256;Популярная психология;https://book24.ru/product/lyubov-po-kayfu-kak-lyubit-po-pravilam-i-bez-5952003/;Открой для себя новый мир гармоничных, счастливых отношений, в которых можно не бояться показаться неправильной, навязчивой, распущенной, глупой, истеричной. Потому что мужчина принимает тебя такой, какая ты есть. Не следить за каждым словом или поступком в страхе «спугнуть мужчину», потому что мужчина просто будет с тобой рядом. Не строить планы «затащить его в загс», потому что он сам поведет тебя туда. Ведь ваши отношения и для него, и для тебя — в удовольствие, по кайфу. Эта книга — твой верный помощник, если ты не знаешь:  как и где знакомиться с парнями;  как обезопасить себя на встрече с незнакомцем;  где организовать свидание;  как говорить с партнером о предохранении;  как не тратить время на *удаков;  как остаться в сердце мужчины навсегда. Открой для себя удовольствие от любви!;https://cdn.book24.ru/v2/ASE000000000856421/COVER/cover13d__w410.jpg;
6065054;Таинственная история Билли Миллигана;Дэниел Киз;2022;16+;4;Художественная литература;https://book24.ru/product/tainstvennaya-istoriya-billi-milligana-6065054/;;https://cdn.book24.ru/v2/ITD000000001252661/COVER/cover13d__w410.jpg;
6020828;Воскресный пирог. 52 рецепта для уютных чаепитий;Анна Кириллова;2021;16+;144;Выпечка и десерты;https://book24.ru/product/voskresnyy-pirog-52-retsepta-dlya-uyutnykh-chaepitiy-6020828/;Эта книга о любви. Любви к своему дому и семье. О том, как, не стесняясь, признаваться в своих нежных чувствах каждое воскресенье. Как легко сделать дом уютным, семейный мир – крепким, а общение родных - радостным. Всего-то и нужно замесить тесто, приготовить начинку и испечь вкусный пирог. Каждое воскресенье – новый!  "Воскресный пирог" - это 52 рецепта из заветной семейной тетрадки автора. Для каждого времени года. Пеките на здоровье и угощайте своих близких!;https://cdn.book24.ru/v2/ITD000000000914740/COVER/cover13d__w410.jpg;
6065060;Мечтают ли андроиды об электроовцах?;Филип Дик;2022;16+;4;Художественная литература;https://book24.ru/product/mechtayut-li-androidy-ob-elektroovtsakh-6065060/;;https://cdn.book24.ru/v2/ITD000000001252674/COVER/cover13d__w410.jpg;
6065064;Жизнь Пи;Янн Мартел;2022;16+;4;Художественная литература;https://book24.ru/product/zhizn-pi-6065064/;;https://cdn.book24.ru/v2/ITD000000001252690/COVER/cover13d__w410.jpg;
5963529;Продвижение ВКонтакте;Анастасия Югова;2021;16+;320;Интернет-маркетинг;https://book24.ru/product/prodvizhenie-vkontakte-5963529/;Как создать продающую группу ВКонтакте, чтобы покупатели выстраивались в очередь? В книге собран уникальный опыт создателя одноименного сообщества "SMM секреты с Анастасией Юговой" — одного из крупнейших тематических пабликов в социальной сети. Это пошаговый план с домашними заданиями, чек-листами, кейсами и примерами. Обучение на курсах и марафонах автора прошли больше 7 000 человек. Вы узнаете: •	Как настроить группу? •	Как написать идеальный пост? •	Как вовлечь аудиторию ставить лайки и писать комментарии? •	Как настроить эффективную рекламу даже с минимальным бюджетом? •	Как анализировать статистику? Если у вас есть вопросы по продвижению ВКонтакте, в книге вы найдете на них ответы. А после применения знаний на практике получите понятный результат и рост вашего сообщества!;https://cdn.book24.ru/v2/ASE000000000855804/COVER/cover13d__w410.jpg;
6022025;Открытая кухня. Любимые рецепты, чтобы готовить, есть и делиться;Кристина Черняховская;2021;16+;112;Кулинарные рецепты;https://book24.ru/product/otkrytaya-kukhnya-lyubimye-retsepty-chtoby-gotovit-est-i-delitsya-6022025/;Профессионалы редко позволяют заглянуть на свою кухню. Но в случае с шеф-поваром" Кристиной Черняховской это, к счастью, не так. Она делится любимыми и проверенными авторскими рецептами и предлагает пошаговые инструкции по приготовлению, доступные даже новичкам кулинарии. Каждый ее рецепт – часть большого пути в мире еды. Это не искусственная проработка, не "фотоеда", а плод настоящей ежедневной готовки для себя, семьи, друзей и гостей. Это еда "здесь и сейчас", поле экспериментов для творческих людей, где можно что-то видоизменять и радоваться удачам. "Открытая кухня" – книга, в которой продолжается тема сезонности, простоты, доступности продуктов, свежести исполнения. Как и в жизни, трапеза здесь делится на три важные части – утро, день и вечер. Кристина предлагает нетривиальные завтраки (жареный лист романо с артишоками, тахини и яйцом, сливочная буратта с карамелизированной свеклой, пирог с черемшой и молодым сыром), сытные обеды (тосканский суп "Риболита", чечевица с горгонзолой, вялеными томатами и красным луком, щучьи котлеты с сальсой из песто и халапеньо), изысканные ужины (куриный крамбл, утиная ножка с капустой, лазанья с лососем и брокколи). А еще есть целый раздел для любителей вкусно и полезно поесть на ночь — фруктовый кобблер, грушевый крамбл, аффогато с вишней. И это еще далеко не все, что ждет вас под этой обложкой.;https://cdn.book24.ru/v2/ITD000000001157712/COVER/cover13d__w410.jpg;
6062864;В чём секрет, Чарли? (выпуск 2);Кристофер Эдж;2022;12+;240;Мистика и ужасы для детей;https://book24.ru/product/v-chyem-sekret-charli-vypusk-2-6062864/;;https://cdn.book24.ru/v2/ITD000000001093952/COVER/cover13d__w410.jpg;
5949791;Алгоритм судного дня. Как Facebook, Google, Microsoft, Apple и другие корпорации создают искусственный суперинтеллект и почему это приведет к катастрофе;Эми Уэбб;2022;12+;400;Программирование;https://book24.ru/product/algoritm-sudnogo-dnya-kak-facebook-google-microsoft-apple-i-drugie-korporatsii-sozdayut-iskusstvenny-5949791/;Искусственный интеллект, несмотря на название, творение рук человеческих. А ИИ, разработанный крупнейшими международными корпорациями, такими как Google и Facebook - это еще и мощнейший инструмент воздействия на людей и общество. Знаете ли вы, как он работает и что лежит в его основе? А задумываетесь ли вы, что будет, если этот всемогущий ИИ кто-то пожелает использовать во зло? Книга о будущем человечества в эпоху глобального корпоративного супер-ИИ от генерального директора Future Today.;https://cdn.book24.ru/v2/ITD000000001051815/COVER/cover13d__w410.jpg;
6008787;Договор с драконом не предлагать;Ольга Шерстобитова;2021;16+;384;Русское фэнтези;https://book24.ru/product/dogovor-s-drakonom-ne-predlagat-6008787/;;https://cdn.book24.ru/v2/ITD000000001163841/COVER/cover13d__w410.jpg;
6047063;От войны до войны;Вера Камша;2022;16+;752;Книги про волшебников;https://book24.ru/product/ot-voyny-do-voyny-6047063/;Эта история началась тысячелетия назад, когда владыка великой анаксии осудил на смерть брата-насильника и был им проклят. Эта история началась века назад, когда измена возвела на трон одряхлевшего королевства безродного выскочку, а верный погибшему сюзерену рыцарь убил предателя. Эта история началась совсем недавно, когда потомки проигравших восстали против потомков победителей. И вновь проиграли. Эта история началась, когда сын погибшего мятежника присягнул на верность убийце своего отца. И когда была выиграна война, победить в которой почиталось немыслимым. Празднества и погромы, богословские диспуты и смертельно опасные ритуалы, любовные свидания и допросы с пристрастием фальшивые письма, фальшивые гонцы, фальшивые покушения, фальшивые чувства… Пляшут в своих петлях висельники, голосят над обезумевшей столицей колокола, сходит со старых стен нечисть, рыдает над мертвым конем не знавшая радости девушка, тают в вине крупинки яда. Бред и явь, любовь и ненависть, поединки и попойки, "слезы" и "кровь". Это называется миром. "На войне как-то уютнее", но до войны еще нужно дожить.;https://cdn.book24.ru/v2/ITD000000001162455/COVER/cover13d__w410.jpg;
5954494;Английская тетрадь. Субъективный взгляд;Владимир Познер;2021;12+;160;Биографии. Мемуары;https://book24.ru/product/angliyskaya-tetrad-subektivnyy-vzglyad-5954494/;;//ndc.book24.ru/resize/410x590/iblock/8a8/8a8cab5bbc383dcd204d7175016a2f6d/ba518ab9a1e86aaa6763dbe7f3c13a72.jpg;
6022232;Крайон. Ритмы Вселенной. Лунный и солнечно-зодиакальный календари до 2031 года, послания всем знакам зодиака;Тамара Шмидт;2021;12+;528;Астрологические календари;https://book24.ru/product/krayon-ritmy-vselennoy-lunnyy-i-solnechno-zodiakalnyy-kalendari-do-2031-goda-poslaniya-vsem-znakam-z-6022232/;Крайон напоминает нам, что мы все составляем единое целое с нашей планетой, с Солнечной системой, со всей Вселенной! Мы буквально купаемся в энергиях — земных и лунных, солнечных и принадлежащих планетам Солнечной системы. Эти энергии могут становиться для нас дополнительными источниками силы, если мы будем правильно ими пользоваться.  Для этого надо правильно встроиться в те космические ритмы, которым подчиняется наша Земля, прежде всего — в лунно-солнечные ритмы. В этой книге заключены три мощнейших инструмента, дающих возможность научиться чувствовать ритмы Вселенной и день за днем выстраивать свою жизнь в согласии с ними. Это лунный и солнечно-зодиакальный календари до 2032 года с практиками и настроями на каждый день, а также послания Крайона для представителей всех знаков зодиака — они позволят уйти от астрологической предопределенности и полностью изменить свою судьбу.;https://cdn.book24.ru/v2/ASE000000000861084/COVER/cover13d__w410.jpg;
6032005;Остров вчерашнего дня;Антон Леонтьев;2021;16+;352;Современные детективы;https://book24.ru/product/ostrov-vcherashnego-dnya-6032005/;У Нины Дорн есть редчайшая способность открывать порталы в миры литературных произведений и особо важное задание. На этот раз ей придется проникнуть во вселенную знаменитого детективного романа популярной английской писательницы и выяснить, кто же на самом деле совершил таинственные убийства по детской считалочке. Заняв место одной из приглашенных на остров, Нина включается в опасную игру, которая оказывается гораздо сложнее, чем она думала…;https://cdn.book24.ru/v2/ITD000000001228179/COVER/cover13d__w410.jpg;
5965484;Искусство побеждать. Афоризмы.;Артур Шопенгауэр;2021;12+;192;Афоризмы;https://book24.ru/product/iskusstvo-pobezhdat-aforizmy-5965484/;Великий немецкий философ Артур Шопенгауэр — философ-мизантроп, один из самых известных в мире мыслителей иррационализма. Называл окружающий его мир "наихудшим из возможных", за что и прославился как "философ пессимизма".  Шопенгауэр подробно исследовал ключевую проблему философии — место человека в мире, оценивая темные и светлые стороны человеческой натуры;https://cdn.book24.ru/v2/ASE000000000859011/COVER/cover13d__w410.jpg;
